state,abbr,code_citation,code_url,code_url_secondary,admin_agency,admin_url,voter_portal_url
Alabama,AL,"Code of Alabama, Title 17 (Elections)",https://alison.legislature.state.al.us/,,Alabama Secretary of State (Elections),https://www.sos.alabama.gov/alabama-votes,https://myinfo.alabamavotes.gov/
Alaska,AK,"Alaska Statutes, Title 15 (Elections)",https://www.akleg.gov/basis/statutes.asp,,Alaska Division of Elections (Office of the Lieutenant Governor),https://www.elections.alaska.gov/,https://myvoterportal.alaska.gov/
Arizona,AZ,"Arizona Revised Statutes, Title 16 (Elections and Electors)",https://www.azleg.gov/arsDetail/?title=16,,Arizona Secretary of State (Elections),https://azsos.gov/elections,https://my.arizona.vote/
Arkansas,AR,"Arkansas Code, Title 7 (Elections)",https://arkleg.state.ar.us/,https://advance.lexis.com/container?config=00JAA3ZTU0NTIzYy0zZDEyLTRhYmQtYmRmMS1iMWIxNDgxYWMxZTQKAFBvZENhdGFsb2cubRW4ifTiwi5vLw6cI1uX,Arkansas Secretary of State (Elections),https://www.sos.arkansas.gov/elections/,https://www.voterview.ar-nova.org/
California,CA,California Elections Code (ELEC),https://leginfo.legislature.ca.gov/faces/codesTOCSelected.xhtml?tocCode=ELEC,,California Secretary of State (Elections),https://www.sos.ca.gov/elections,https://voterstatus.sos.ca.gov/
Colorado,CO,"Colorado Revised Statutes, Title 1 (Elections)",https://leg.colorado.gov/colorado-revised-statutes,https://content.leg.colorado.gov/sites/default/files/images/olls/crs2024-title-01.pdf,Colorado Secretary of State (Elections),https://www.sos.state.co.us/pubs/elections/,https://www.govotecolorado.gov/
Connecticut,CT,"Connecticut General Statutes, Title 9 (Elections)",https://www.cga.ct.gov/current/pub/title_09.htm,,Connecticut Secretary of the State (Election Services),https://portal.ct.gov/SOTS/Election-Services/,https://myvote.ct.gov/
Delaware,DE,"Delaware Code, Title 15 (Elections)",https://delcode.delaware.gov/title15/index.html,,Delaware Department of Elections,https://elections.delaware.gov/,https://ivote.de.gov/
Florida,FL,"Florida Statutes, Chapters 97-106 (Florida Election Code)",https://www.flsenate.gov/Laws/Statutes,,"Florida Department of State, Division of Elections",https://dos.fl.gov/elections/,https://registration.elections.myflorida.com/
Georgia,GA,"O.C.G.A., Title 21 (Elections)",https://www.legis.ga.gov/,https://advance.lexis.com/container?config=00JAAyNDIyN2JjNC04NzBkLTRiNGQtYjcyNC04MjIxYTA1ZmI1OGYKAFBvZENhdGFsb2fj2wGx7D8FlWJs9VMmJTXe,Georgia Secretary of State (Elections Division),https://sos.ga.gov/page/about-elections-division,https://mvp.sos.ga.gov/
